strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
fine,lookup,1,500000,4,65217.86
fine,lookup,1,500000,5,64942.28
fine,lookup,2,50000,1,6747000.96
fine,lookup,2,50000,2,4871917.29
fine,lookup,2,50000,3,6105080.65
fine,lookup,2,50000,4,6875214.85
fine,lookup,2,50000,5,6781224.15
fine,lookup,2,500000,1,98277.06
fine,lookup,2,500000,2,104603.51
fine,lookup,2,500000,3,103751.63
fine,lookup,2,500000,4,91919.42
fine,lookup,2,500000,5,99071.04
fine,lookup,4,50000,1,13138532.69
fine,lookup,4,50000,2,12194527.1
fine,lookup,4,50000,3,11004005.46
fine,lookup,4,50000,4,11885236.16
fine,lookup,4,50000,5,10524100.19
fine,lookup,4,500000,1,201564.11
fine,lookup,4,500000,2,203884.24
fine,lookup,4,500000,3,160936.09
fine,lookup,4,500000,4,217946.78
fine,lookup,4,500000,5,204619.98
fine,lookup,8,50000,1,22305496.07
fine,lookup,8,50000,2,18560451.39
fine,lookup,8,50000,3,19671099.22
fine,lookup,8,50000,4,20189783.97
fine,lookup,8,50000,5,20317769.92
fine,lookup,8,500000,1,458354.84
fine,lookup,8,500000,2,462791.56
fine,lookup,8,500000,3,414683.55
fine,lookup,8,500000,4,470977.12
fine,lookup,8,500000,5,321736.02
fine,lookup,16,50000,1,28282142.66
fine,lookup,16,50000,2,28149983.11
fine,lookup,16,50000,3,25488097.06
fine,lookup,16,50000,4,26679472.81
fine,lookup,16,50000,5,27320911.43
fine,lookup,16,500000,1,826620.35
fine,lookup,16,500000,2,812883.88
fine,lookup,16,500000,3,952998.13
fine,lookup,16,500000,4,748447.76
fine,lookup,16,500000,5,801577.5
fine,insert,1,50000,1,3741646.77
fine,insert,1,50000,2,3565189.49
fine,insert,1,50000,3,3601578.93
fine,insert,1,50000,4,3347594.08
fine,insert,1,50000,5,3710024.49
fine,insert,1,500000,1,73264.8
fine,insert,1,500000,2,59425.29
fine,insert,1,500000,3,65600.43
fine,insert,1,500000,4,61859.44
fine,insert,1,500000,5,69280.96
fine,insert,2,50000,1,5860702.82
fine,insert,2,50000,2,5644360.16
fine,insert,2,50000,3,5365900.77
fine,insert,2,50000,4,5584533.08
fine,insert,2,50000,5,5478971.71
fine,insert,2,500000,1,92798.89
fine,insert,2,500000,2,94285.46
fine,insert,2,500000,3,95376.37
fine,insert,2,500000,4,96979.73
fine,insert,2,500000,5,96302.42
fine,insert,4,50000,1,10243802.5
fine,insert,4,50000,2,9402030.84
fine,insert,4,50000,3,9374707.04
fine,insert,4,50000,4,9584970.77
fine,insert,4,50000,5,9901578.31
fine,insert,4,500000,1,222036.99
fine,insert,4,500000,2,200306.2
fine,insert,4,500000,3,196838.66
