strategy,workload,threads,dataset_size,median,mean,std,min,max,count
coarse,insert,1,10000,21.38122728,21.675883210000002,1.689410649708496,19.56181534,24.260067929999998,5
coarse,insert,1,50000,3.64508533,3.673201904,0.6051021550232324,2.73750602,4.223436690000001,5
coarse,insert,1,100000,1.30069119,1.3240738479999998,0.14097578549335935,1.17436502,1.51748522,5
coarse,insert,1,500000,0.08740211,0.090905312,0.0074727294682177545,0.08696918,0.1042279,5
coarse,insert,2,10000,5.409791719999999,5.367283578,1.352339122757852,3.84792981,6.92185229,5
coarse,insert,2,50000,2.36862426,2.404656192,0.20241354696247388,2.1982273500000002,2.73153889,5
coarse,insert,2,100000,0.35808565000000003,0.351781396,0.059033127474490785,0.29216615,0.43186321,5
coarse,insert,2,500000,0.06076508,0.059609488,0.004184012765117955,0.05479718,0.06430701,5
coarse,insert,4,10000,6.54750213,6.396922118,0.3807998045544559,5.96480763,6.86341798,5
coarse,insert,4,50000,1.54400571,1.502581532,0.1329747101281759,1.2749963,1.6015939099999998,5
coarse,insert,4,100000,0.32997126,0.347830784,0.09452358666987637,0.22619829,0.44330014,5
coarse,insert,4,500000,0.05050771,0.051271446,0.0033417971097195603,0.048212910000000005,0.05648574,5
coarse,insert,8,10000,4.1708375,4.086172506,0.18784926382348907,3.81766817,4.26475606,5
coarse,insert,8,50000,0.84849884,0.8710736459999999,0.06638314895282903,0.7995458599999999,0.96118541,5
coarse,insert,8,100000,0.22599222,0.21858556199999998,0.019471405744604577,0.19762037,0.24116888,5
coarse,insert,8,500000,0.04608186,0.044665456000000006,0.004382056640657444,0.036916330000000004,0.04768604,5
coarse,insert,16,10000,2.03165316,2.013364996,0.063040671162142,1.9097454299999999,2.06274882,5
coarse,insert,16,50000,0.4136313,0.40110911600000004,0.02579696899908262,0.35988751,0.42025106,5
coarse,insert,16,100000,0.20331927,0.20318279600000003,0.021403328724669907,0.18018508,0.23734737,5
coarse,insert,16,500000,0.0350789,0.035131188,0.00022898746684043786,0.03490805,0.0353783,5
coarse,lookup,1,10000,18.21493625,18.51232089,4.4267983685617684,13.04121022,23.946360149999997,5
coarse,lookup,1,50000,4.05989152,3.9987707620000004,0.31601007506445156,3.47149899,4.24754704,5
coarse,lookup,1,100000,1.5773617,1.525883158,0.13698034177374876,1.28779518,1.62722279,5
coarse,lookup,1,500000,0.08007258,0.078672234,0.006137948921445992,0.07044394,0.08671562,5
coarse,lookup,2,10000,8.727526619999999,8.481155518,0.98548330655433,7.221259389999999,9.52834683,5
coarse,lookup,2,50000,2.231575,2.211593036,0.18559325684365122,2.00430525,2.41688338,5
coarse,lookup,2,100000,0.71840216,0.6798518880000001,0.10225367092479105,0.5222463900000001,0.77370098,5
coarse,lookup,2,500000,0.046034410000000005,0.045661252,0.00130854902767149,0.0439755,0.04740739,5
coarse,lookup,4,10000,7.58610226,7.344320986,0.6135473768847828,6.66400107,7.917029530000001,5
coarse,lookup,4,50000,1.21924158,1.24224478,0.18651780063509263,1.0461411,1.4505872,5
coarse,lookup,4,100000,0.43291861,0.416807386,0.04546113366167994,0.35655925,0.46571868,5
coarse,lookup,4,500000,0.04039479,0.04184006999999999,0.0035323744509253253,0.03957599,0.04796825,5
coarse,lookup,8,10000,4.858378269999999,5.121426582,0.6586010595387606,4.4412862,6.0240963899999995,5
coarse,lookup,8,50000,0.90292475,0.9146733100000001,0.10946296069607858,0.78509328,1.06372794,5
coarse,lookup,8,100000,0.27520075,0.26654318,0.036726991142328816,0.21600409,0.31437357,5
coarse,lookup,8,500000,0.04571154,0.043534074,0.006947128703725734,0.035357559999999996,0.05212191,5
coarse,lookup,16,10000,2.9914146400000003,3.0374959500000003,0.14467612468405786,2.93203542,3.28904092,5
coarse,lookup,16,50000,0.50535116,0.511948254,0.025787391733211998,0.47911949,0.5440323499999999,5
coarse,lookup,16,100000,0.21234267,0.21110133000000003,0.008168959359698151,0.19897532,0.21957348000000002,5
coarse,lookup,16,500000,0.053278980000000004,0.050577348,0.004515612545554592,0.045318449999999996,0.05482451,5
coarse,mixed,1,10000,22.87805994,22.687818306000004,1.0083995663308782,21.181952980000002,23.58490566,5
coarse,mixed,1,50000,4.08316592,4.066352847999999,0.07738973553672064,3.93635698,4.14164423,5
coarse,mixed,1,100000,1.48745112,1.473266616,0.15225915246818003,1.2683402,1.6271883600000001,5
coarse,mixed,1,500000,0.07095375999999999,0.07109426799999999,0.004679581546989008,0.06608128999999999,0.07676000999999999,5
coarse,mixed,2,10000,7.25373567,7.257323786000001,0.14171918556032784,7.067137809999999,7.42776499,5
coarse,mixed,2,50000,2.07881192,2.1198859160000003,0.14072166515696605,1.93107603,2.26105202,5
coarse,mixed,2,100000,0.69312222,0.7105352659999999,0.17142505652692444,0.52767274,0.99207727,5
coarse,mixed,2,500000,0.03949032,0.039833654,0.0018837787619648968,0.038215870000000006,0.04304932,5
coarse,mixed,4,10000,6.0492408200000005,6.180172754,0.34331351048950315,5.8428279299999994,6.65158973,5
coarse,mixed,4,50000,1.22789181,1.179188624,0.1535017748706208,0.915109,1.2923503200000002,5
coarse,mixed,4,100000,0.35866488,0.387262974,0.07627630473506652,0.30696909,0.4887619,5
coarse,mixed,4,500000,0.03424095,0.034096876,0.0004722386307048572,0.033404260000000005,0.03463229,5
coarse,mixed,8,10000,3.61141206,3.601334338,0.09307843472284252,3.4965035,3.7387370499999997,5
coarse,mixed,8,50000,0.57589953,0.559490472,0.050721719895800245,0.49889843,0.62158439,5
coarse,mixed,8,100000,0.22825771,0.22188027400000002,0.028675059574457384,0.17600484,0.25336186,5
coarse,mixed,8,500000,0.03318495,0.033219292,0.0002529026188476504,0.032998690000000004,0.03361131,5
coarse,mixed,16,10000,1.8229546399999998,1.8879369699999997,0.15521923002736465,1.7818641899999998,2.1545687599999996,5
coarse,mixed,16,50000,0.32304541,0.328539174,0.011608625303606393,0.32064497999999997,0.34827115000000003,5
